date,district,cases
2020-03-01,Bahawalpur,34
2020-03-02,Bahawalpur,26
2020-03-03,Bahawalpur,32
2020-03-04,Bahawalpur,21
2020-03-05,Bahawalpur,31
2020-03-06,Bahawalpur,17
2020-03-07,Bahawalpur,28
2020-03-08,Bahawalpur,26
2020-03-09,Bahawalpur,27
2020-03-10,Bahawalpur,22
2020-03-11,Bahawalpur,28
2020-03-12,Bahawalpur,28
2020-03-13,Bahawalpur,40
2020-03-14,Bahawalpur,28
2020-03-15,Bahawalpur,25
2020-03-16,Bahawalpur,27
2020-03-17,Bahawalpur,21
2020-03-18,Bahawalpur,30
2020-03-19,Bahawalpur,24
2020-03-20,Bahawalpur,28
2020-03-21,Bahawalpur,28
2020-03-22,Bahawalpur,21
2020-03-23,Bahawalpur,32
2020-03-24,Bahawalpur,33
2020-03-25,Bahawalpur,33
2020-03-26,Bahawalpur,34
2020-03-27,Bahawalpur,38
2020-03-28,Bahawalpur,33
2020-03-29,Bahawalpur,30
2020-03-30,Bahawalpur,25
2020-03-31,Bahawalpur,19
2020-04-01,Bahawalpur,58
2020-04-02,Bahawalpur,49
2020-04-03,Bahawalpur,47
2020-04-04,Bahawalpur,53
2020-04-05,Bahawalpur,51
2020-04-06,Bahawalpur,43
2020-04-07,Bahawalpur,54
2020-04-08,Bahawalpur,66
2020-04-09,Bahawalpur,66
2020-04-10,Bahawalpur,49
2020-04-11,Bahawalpur,65
2020-04-12,Bahawalpur,65
2020-04-13,Bahawalpur,59
2020-04-14,Bahawalpur,52
2020-04-15,Bahawalpur,53
2020-04-16,Bahawalpur,38
2020-04-17,Bahawalpur,39
2020-04-18,Bahawalpur,67
2020-04-19,Bahawalpur,62
2020-04-20,Bahawalpur,56
2020-04-21,Bahawalpur,67
2020-04-22,Bahawalpur,74
2020-04-23,Bahawalpur,48
2020-04-24,Bahawalpur,55
2020-04-25,Bahawalpur,57
2020-04-26,Bahawalpur,70
2020-04-27,Bahawalpur,55
2020-04-28,Bahawalpur,51
2020-04-29,Bahawalpur,56
2020-04-30,Bahawalpur,72
2020-05-01,Bahawalpur,56
2020-05-02,Bahawalpur,68
2020-05-03,Bahawalpur,57
2020-05-04,Bahawalpur,67
2020-05-05,Bahawalpur,43
2020-05-06,Bahawalpur,52
2020-05-07,Bahawalpur,61
2020-05-08,Bahawalpur,73
2020-05-09,Bahawalpur,64
2020-05-10,Bahawalpur,61
2020-05-11,Bahawalpur,62
2020-05-12,Bahawalpur,60
2020-05-13,Bahawalpur,60
2020-05-14,Bahawalpur,72
2020-05-15,Bahawalpur,86
2020-05-16,Bahawalpur,72
2020-05-17,Bahawalpur,67
2020-05-18,Bahawalpur,59
2020-05-19,Bahawalpur,67
2020-05-20,Bahawalpur,76
2020-05-21,Bahawalpur,78
2020-05-22,Bahawalpur,60
2020-05-23,Bahawalpur,63
2020-05-24,Bahawalpur,54
2020-05-25,Bahawalpur,60
2020-05-26,Bahawalpur,44
2020-05-27,Bahawalpur,63
2020-05-28,Bahawalpur,69
2020-05-29,Bahawalpur,95
2020-05-30,Bahawalpur,59
2020-05-31,Bahawalpur,64
2020-06-01,Bahawalpur,49
2020-06-02,Bahawalpur,56
2020-06-03,Bahawalpur,56
2020-06-04,Bahawalpur,57
2020-06-05,Bahawalpur,67
2020-06-06,Bahawalpur,65
2020-06-07,Bahawalpur,58
2020-06-08,Bahawalpur,44
2020-06-09,Bahawalpur,44
2020-06-10,Bahawalpur,49
2020-06-11,Bahawalpur,52
2020-06-12,Bahawalpur,58
2020-06-13,Bahawalpur,49
2020-06-14,Bahawalpur,69
2020-06-15,Bahawalpur,68
2020-06-16,Bahawalpur,58
2020-06-17,Bahawalpur,61
2020-06-18,Bahawalpur,59
2020-06-19,Bahawalpur,56
2020-06-20,Bahawalpur,77
2020-06-21,Bahawalpur,58
2020-06-22,Bahawalpur,53
2020-06-23,Bahawalpur,55
2020-06-24,Bahawalpur,63
2020-06-25,Bahawalpur,49
2020-06-26,Bahawalpur,53
2020-06-27,Bahawalpur,59
2020-06-28,Bahawalpur,56
2020-06-29,Bahawalpur,63
2020-06-30,Bahawalpur,47
2020-07-01,Bahawalpur,97
2020-07-02,Bahawalpur,78
2020-07-03,Bahawalpur,69
2020-07-04,Bahawalpur,69
2020-07-05,Bahawalpur,87
2020-07-06,Bahawalpur,89
2020-07-07,Bahawalpur,89
2020-07-08,Bahawalpur,72
2020-07-09,Bahawalpur,67
2020-07-10,Bahawalpur,78
2020-07-11,Bahawalpur,87
2020-07-12,Bahawalpur,71
2020-07-13,Bahawalpur,82
2020-07-14,Bahawalpur,90
